SCHOOL_YEAR_x,ST_x,NAME,NCESSCH,LEVEL,SCH_TYPE_TEXT_x,SCH_TYPE_x,TITLEI_STATUS,TITLEI_STATUS_TEXT,TEACHERS,FARMS_COUNT,Special_ed_schl_new,Magnet_schl_new,Charter_Schl_new,Alternate_schl_new,Total_enroll_students,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,FTE_teachers_count,SalaryforTeachers,Total_SAT_ACT_students,SCH_IBENR_IND_new,Total_IB_students,SCH_APENR_IND_new,SCH_APCOURSES,SCH_APOTHENR_IND_new,Total_AP_other_students,Total_students_tookAP,Income_Poverty_ratio,IPR_SE,ALL_RLA00NUMVALID_1718,ALL_RLA00PCTPROF_1718_new
2017-2018,AL,Etowah High School,010018000033,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,42.0,365.0,0.0,0.0,0.0,0.0,592.0,40.07,40.07,0.0,40.07,2016821.38,250.0,0.0,-18.0,1.0,7.0,1.0,48.0,75.0,188.0,113.0,145.0,27.0
2017-2018,AL,Saraland High School,010018502137,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,57.67,429.0,0.0,0.0,0.0,0.0,1040.0,58.67,58.67,0.0,56.37,2720805.82,525.0,0.0,-18.0,1.0,8.0,0.0,-18.0,41.0,342.0,102.0,241.0,59.0
2017-2018,AL,Chickasaw City High School,010018802194,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,14.71,237.0,0.0,0.0,0.0,0.0,263.0,21.0,0.0,21.0,15.65,4799334.24,87.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,92.0,19.0,57.0,15.0
2017-2018,AL,Satsuma High School,010018902195,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,39.0,298.0,0.0,0.0,0.0,0.0,758.0,38.83,38.83,0.0,38.83,1978321.5,126.0,0.0,-18.0,1.0,7.0,1.0,34.0,16.0,288.0,101.0,365.0,58.0
2017-2018,AL,Thompson High School,010019001183,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,114.85,618.0,0.0,0.0,0.0,0.0,1984.0,129.72,129.72,0.0,129.72,5602781.88,498.0,0.0,-18.0,1.0,17.0,1.0,459.0,503.0,298.0,75.0,480.0,57.0
2017-2018,AL,Pelham High School,010019402399,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,60.5,278.0,0.0,0.0,0.0,0.0,945.0,72.38,72.38,0.0,60.5,3119741.27,429.0,0.0,-18.0,1.0,12.0,1.0,161.0,172.0,375.0,95.0,268.0,51.0
2017-2018,AL,Auburn High School,010021000036,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,111.5,364.0,0.0,0.0,0.0,0.0,1843.0,113.8,113.8,0.0,102.8,5528434.41,637.0,1.0,82.0,1.0,22.0,1.0,580.0,573.0,484.0,98.0,615.0,64.0
2017-2018,AL,Marbury High School,010024000046,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,31.0,244.0,0.0,0.0,0.0,0.0,591.0,31.0,31.0,0.0,31.0,1521589.5,214.0,0.0,-18.0,1.0,9.0,1.0,43.0,34.0,289.0,79.0,142.0,52.0
2017-2018,AL,Prattville High School,010024000048,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,99.0,665.0,0.0,0.0,0.0,0.0,1973.0,113.0,111.0,2.0,98.68,4830140.27,503.0,0.0,-18.0,1.0,15.0,1.0,359.0,564.0,238.0,61.0,492.0,59.0
2017-2018,AL,Robertsdale High School,010027000024,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,75.5,786.0,0.0,0.0,0.0,0.0,1282.0,74.0,74.0,0.0,74.0,4158636.0,446.0,1.0,0.0,1.0,10.0,1.0,151.0,121.0,245.0,31.0,305.0,35.0
2017-2018,AL,Fairhope High School,010027000100,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,93.34,440.0,0.0,0.0,0.0,0.0,1589.0,96.0,96.0,0.0,91.56,4920692.0,719.0,1.0,48.0,1.0,19.0,1.0,386.0,379.0,320.0,93.0,423.0,69.0
2017-2018,AL,Gulf Shores High School,010027000641,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,50.2,305.0,0.0,0.0,0.0,0.0,812.0,50.0,50.0,0.0,50.0,2765700.0,351.0,0.0,-18.0,1.0,13.0,1.0,202.0,119.0,303.0,66.0,209.0,50.0
2017-2018,AL,Daphne High School,010027001759,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,70.9,409.0,0.0,0.0,0.0,0.0,1260.0,70.0,70.0,0.0,70.0,3961601.0,547.0,1.0,42.0,1.0,15.0,1.0,496.0,332.0,360.0,112.0,302.0,54.0
2017-2018,AL,Foley High School,010027001784,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,99.43,1120.0,0.0,0.0,0.0,0.0,1714.0,98.0,98.0,0.0,98.0,5288816.0,659.0,0.0,-18.0,1.0,13.0,1.0,234.0,234.0,207.0,52.0,442.0,36.0
2017-2018,AL,Baldwin County High School,010027001810,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,68.75,679.0,0.0,0.0,0.0,0.0,1065.0,65.0,65.0,0.0,63.9,3305134.0,357.0,0.0,-18.0,1.0,9.0,1.0,251.0,216.0,216.0,62.0,250.0,36.0
2017-2018,AL,Spanish Fort High School,010027002073,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,61.0,186.0,0.0,0.0,0.0,0.0,1073.0,64.0,64.0,0.0,61.98,3328339.0,534.0,1.0,0.0,1.0,8.0,1.0,73.0,91.0,526.0,90.0,272.0,65.0
2017-2018,AL,Bessemer City High School,010033000087,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,42.0,576.0,0.0,0.0,0.0,0.0,949.0,42.0,42.0,0.0,42.0,2399345.01,208.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,226.0,86.0,235.0,14.0
2017-2018,AL,Bibb County High School,010036000092,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,29.0,319.0,0.0,0.0,0.0,0.0,519.0,32.0,32.0,0.0,27.69,1462128.7,128.0,0.0,-18.0,1.0,6.0,1.0,27.0,28.0,215.0,57.0,119.0,47.0
2017-2018,AL,West Blocton High School,010036000099,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,27.25,232.0,0.0,0.0,0.0,0.0,413.0,26.0,26.0,0.0,25.48,1340264.28,108.0,0.0,-18.0,1.0,3.0,1.0,29.0,29.0,375.0,105.0,121.0,37.0
2017-2018,AL,Huffman High SchoolMagnet,010039000141,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,77.0,974.0,0.0,1.0,0.0,0.0,1359.0,65.0,64.0,1.0,64.54,3535638.94,338.0,0.0,-18.0,1.0,12.0,1.0,81.0,69.0,169.0,81.0,280.0,14.0
2017-2018,AL,JacksonOlin High School,010039000164,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,47.0,775.0,0.0,0.0,0.0,0.0,835.0,49.0,46.0,3.0,47.08,2548077.49,144.0,0.0,-18.0,1.0,7.0,1.0,83.0,109.0,102.0,32.0,151.0,13.0
2017-2018,AL,Ramsay High School,010039000176,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,46.0,485.0,0.0,0.0,0.0,0.0,786.0,45.08,43.08,2.0,45.08,2487311.26,173.0,1.0,11.0,1.0,10.0,1.0,135.0,159.0,310.0,241.0,171.0,72.0
2017-2018,AL,Wenonah High School,010039000192,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,45.0,625.0,0.0,0.0,0.0,0.0,725.0,42.0,42.0,0.0,40.97,2217842.69,97.0,0.0,-18.0,1.0,6.0,1.0,69.0,50.0,109.0,33.0,143.0,13.0
2017-2018,AL,Cleveland High School,010042000206,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,21.41,167.0,0.0,0.0,0.0,0.0,384.0,27.36,26.36,1.0,20.0,995458.94,94.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,212.0,40.0,192.0,52.0
2017-2018,AL,Hayden High School,010042000208,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,46.12,305.0,0.0,0.0,0.0,0.0,862.0,55.28,55.28,0.0,43.87,2271610.03,154.0,0.0,-18.0,1.0,2.0,1.0,22.0,4.0,293.0,53.0,340.0,53.0
2017-2018,AL,JB Pennington High School,010042000209,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,28.92,317.0,0.0,0.0,0.0,0.0,537.0,32.38,31.38,1.0,27.05,1354099.55,115.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,182.0,36.0,260.0,42.0
2017-2018,AL,Locust Fork High School,010042000210,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,26.39,228.0,0.0,0.0,0.0,0.0,505.0,29.93,29.93,0.0,25.06,1198640.47,83.0,0.0,-18.0,1.0,5.0,1.0,68.0,76.0,237.0,44.0,249.0,41.0
2017-2018,AL,Susan Moore High School,010042000213,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,31.28,369.0,0.0,0.0,0.0,0.0,554.0,34.59,32.59,2.0,28.88,1430740.55,80.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,153.0,39.0,259.0,33.0
2017-2018,AL,TR Miller High School,010045000216,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,21.52,130.0,0.0,0.0,0.0,0.0,343.0,25.0,25.0,0.0,21.25,1107365.55,108.0,0.0,-18.0,1.0,4.0,1.0,71.0,71.0,258.0,45.0,78.0,62.0
2017-2018,AL,Bullock County High School,010048000218,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,26.0,328.0,0.0,0.0,0.0,0.0,398.0,29.0,24.0,5.0,22.85,1445690.0,73.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,111.0,26.0,94.0,7.5
2017-2018,AL,Alexandria High School,010054000232,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,36.57,242.0,0.0,0.0,0.0,0.0,592.0,40.07,40.07,0.0,40.07,2135654.0,152.0,0.0,-18.0,1.0,2.0,1.0,28.0,30.0,241.0,42.0,156.0,47.0
2017-2018,AL,Ohatchee High School,010054000240,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,26.93,218.0,0.0,0.0,0.0,0.0,447.0,29.93,29.93,0.0,28.93,1498072.0,73.0,0.0,-18.0,1.0,4.0,1.0,24.0,49.0,259.0,76.0,218.0,49.0
2017-2018,AL,Saks High School,010054000243,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,23.0,239.0,0.0,0.0,0.0,0.0,378.0,28.0,28.0,0.0,24.65,1342805.0,89.0,0.0,-18.0,1.0,1.0,1.0,26.0,13.0,179.0,34.0,88.0,37.0
2017-2018,AL,Weaver High School,010054000247,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,29.0,319.0,0.0,0.0,0.0,0.0,531.0,31.31,31.31,0.0,31.31,1717555.0,78.0,0.0,-18.0,1.0,1.0,1.0,15.0,3.0,246.0,50.0,266.0,39.0
2017-2018,AL,White Plains High School,010054000250,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,25.0,134.0,0.0,0.0,0.0,0.0,437.0,29.0,29.0,0.0,29.0,1540648.0,100.0,0.0,-18.0,1.0,6.0,1.0,29.0,27.0,298.0,126.0,103.0,52.0
2017-2018,AL,Pleasant Valley High School,010054001488,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,27.5,214.0,0.0,0.0,0.0,0.0,472.0,31.58,31.58,0.0,31.58,1701869.0,152.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,249.0,77.0,227.0,50.0
2017-2018,AL,Wellborn High School,010054001489,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,32.0,419.0,0.0,0.0,0.0,0.0,542.0,33.9,33.9,0.0,30.94,1543672.0,95.0,0.0,-18.0,1.0,7.0,0.0,-18.0,46.0,216.0,50.0,244.0,28.0
2017-2018,AL,Lafayette High School,010060000263,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,19.28,222.0,0.0,0.0,0.0,0.0,242.0,14.0,14.0,0.0,13.63,1050000.0,53.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,178.0,43.0,55.0,24.5
2017-2018,AL,Valley High School,010060000271,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,46.25,434.0,0.0,0.0,0.0,0.0,769.0,50.0,50.0,0.0,44.53,3375000.0,240.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,204.0,65.0,167.0,37.0
2017-2018,AL,Cherokee County High School,010063000278,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,27.31,272.0,0.0,0.0,0.0,0.0,462.0,28.84,27.84,1.0,28.18,1430152.17,144.0,0.0,-18.0,1.0,6.0,1.0,24.0,57.0,196.0,52.0,121.0,52.0
2017-2018,AL,Jemison High School,010066000262,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,30.89,331.0,0.0,0.0,0.0,0.0,636.0,34.0,34.0,0.0,34.0,1955652.11,163.0,0.0,-18.0,1.0,1.0,0.0,-18.0,7.0,216.0,39.0,153.0,37.0
2017-2018,AL,Chilton County High School,010066001491,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,32.52,414.0,0.0,0.0,0.0,0.0,762.0,42.05,42.05,0.0,42.0,2245831.93,184.0,0.0,-18.0,1.0,5.0,1.0,25.0,81.0,287.0,92.0,186.0,47.0
2017-2018,AL,Choctaw County High School,010069000291,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,19.5,282.0,0.0,0.0,0.0,0.0,342.0,18.0,18.0,0.0,18.0,993820.65,56.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,159.0,43.0,163.0,17.0
2017-2018,AL,Southern Choctaw High School,010069000297,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,18.5,233.0,0.0,0.0,0.0,0.0,325.0,18.0,18.0,0.0,18.0,1142631.0,66.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,188.0,55.0,162.0,22.0
2017-2018,AL,Clarke County High School,010072000298,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,21.5,290.0,0.0,0.0,0.0,0.0,379.0,23.0,23.0,0.0,23.0,1418245.0,54.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,255.0,78.0,99.0,27.0
2017-2018,AL,Jackson High School,010072001493,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,30.5,359.0,0.0,0.0,0.0,0.0,516.0,34.0,34.0,0.0,31.5,1599971.0,201.0,0.0,-18.0,1.0,8.0,1.0,9.0,18.0,292.0,118.0,127.0,27.0
2017-2018,AL,Central High School of Clay County,010075002210,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,35.5,303.0,0.0,0.0,0.0,0.0,577.0,33.62,33.62,0.0,33.62,2391920.49,143.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,165.0,50.0,142.0,42.0
2017-2018,AL,Cleburne County High School,010078000318,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,38.56,368.0,0.0,0.0,0.0,0.0,633.0,42.06,42.06,0.0,35.56,1809344.4,110.0,0.0,-18.0,1.0,5.0,1.0,84.0,122.0,245.0,79.0,242.0,47.0
2017-2018,AL,Ranburne High School,010078000321,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,27.86,268.0,0.0,0.0,0.0,0.0,505.0,32.36,32.36,0.0,26.86,1340477.06,51.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,305.0,45.0,303.0,45.0
2017-2018,AL,New Brockton High School,010081001494,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,20.14,199.0,0.0,0.0,0.0,0.0,353.0,22.0,22.0,0.0,16.01,280254.0,84.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,183.0,53.0,189.0,27.0
2017-2018,AL,Cherokee High School,010084000333,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,18.0,201.0,0.0,0.0,0.0,0.0,256.0,19.0,19.0,0.0,18.83,913347.0,38.0,0.0,-18.0,1.0,1.0,0.0,-18.0,3.0,211.0,40.0,120.0,42.0
2017-2018,AL,Colbert County High School,010084000334,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,27.0,278.0,0.0,0.0,0.0,0.0,388.0,27.0,27.0,0.0,22.51,1179716.0,58.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,186.0,45.0,183.0,32.0
2017-2018,AL,Hillcrest High School,010087001766,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,9.0,346.0,0.0,0.0,0.0,0.0,387.0,26.5,26.5,0.0,26.0,1304615.1,87.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,162.0,44.0,91.0,17.0
2017-2018,AL,Central High School,010090001749,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,13.73,163.0,0.0,0.0,0.0,0.0,265.0,20.0,19.0,1.0,20.0,568023.04,45.0,0.0,-18.0,1.0,1.0,1.0,1.0,0.0,220.0,101.0,46.0,34.5
2017-2018,AL,Florala High School,010093000360,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,14.0,162.0,0.0,0.0,0.0,0.0,222.0,12.5,12.5,0.0,9.3,474721.99,40.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,179.0,38.0,114.0,32.0
2017-2018,AL,Red Level High School,010093000362,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,17.54,160.0,0.0,0.0,0.0,0.0,246.0,17.04,17.04,0.0,13.14,696552.53,48.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,199.0,50.0,138.0,42.0
2017-2018,AL,Straughn High School,010093000363,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,24.72,180.0,0.0,0.0,0.0,0.0,375.0,24.47,24.47,0.0,19.1,984875.14,104.0,0.0,-18.0,1.0,1.0,0.0,-18.0,6.0,226.0,117.0,86.0,57.0
2017-2018,AL,Cullman High School,010099000370,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,55.2,273.0,0.0,0.0,0.0,0.0,928.0,59.0,59.0,0.0,55.0,2870821.0,208.0,0.0,-18.0,1.0,9.0,1.0,73.0,192.0,334.0,140.0,215.0,68.0
2017-2018,AL,Cold Springs High School,010102000374,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,15.13,111.0,0.0,0.0,0.0,0.0,294.0,19.17,9.17,10.0,19.0,879187.21,139.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,214.0,37.0,64.0,42.0
2017-2018,AL,Fairview High School,010102000377,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,27.8,230.0,0.0,0.0,0.0,0.0,504.0,30.0,0.0,30.0,28.0,1525494.95,248.0,0.0,-18.0,1.0,11.0,0.0,-18.0,56.0,166.0,43.0,133.0,57.0
2017-2018,AL,Hanceville High School,010102000380,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,18.9,233.0,0.0,0.0,0.0,0.0,393.0,18.9,0.0,18.9,18.9,1092237.31,182.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,243.0,27.0,95.0,37.0
2017-2018,AL,Holly Pond High School,010102000381,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,18.5,146.0,0.0,0.0,0.0,0.0,341.0,24.0,0.0,24.0,24.0,1058994.49,175.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,229.0,55.0,80.0,52.0
2017-2018,AL,Vinemont High School,010102000385,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,18.17,174.0,0.0,0.0,0.0,0.0,329.0,22.5,0.0,22.5,22.0,993318.02,145.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,230.0,84.0,79.0,42.0
2017-2018,AL,West Point High School,010102000387,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,32.19,264.0,0.0,0.0,0.0,0.0,575.0,33.25,0.0,33.25,33.25,1611041.0,276.0,0.0,-18.0,1.0,8.0,0.0,-18.0,87.0,257.0,49.0,134.0,47.0
2017-2018,AL,Dale County High School,010105000389,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,24.17,313.0,0.0,0.0,0.0,0.0,477.0,33.77,33.77,0.0,26.27,1283843.18,125.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,217.0,89.0,126.0,52.0
2017-2018,AL,George W Long High School,010105000390,High,Regular School,1,NOTTITLE1ELIG,Not a Title I school,23.18,159.0,0.0,0.0,0.0,0.0,405.0,29.79,28.79,1.0,22.29,1148385.55,70.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,253.0,121.0,219.0,56.0
2017-2018,AL,Daleville High School,010108000394,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,29.59,275.0,0.0,0.0,0.0,0.0,430.0,31.0,31.0,0.0,26.61,1390187.3,71.0,0.0,-18.0,1.0,5.0,1.0,42.0,48.0,256.0,74.0,223.0,42.0
2017-2018,AL,Dallas County High School,010111000397,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,29.04,353.0,0.0,0.0,0.0,0.0,492.0,25.69,24.69,1.0,25.69,1151654.66,228.0,0.0,-18.0,1.0,1.0,0.0,-18.0,2.0,242.0,107.0,121.0,22.0
2017-2018,AL,Keith MiddleHigh School,010111000402,High,Regular School,1,SWELIGSWPROG,Title I schoolwide school,21.46,249.0,0.0,0.0,0.0,0.0,280.0,18.0,17.0,1.0,15.46,739449.08,68.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0,180.0,88.0,140.0,13.0
