LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,SCH_IBENR_IND,Male_enroll_count,Female_enroll_count,NCESSCH,Total_IB_students,SCH_IBENR_IND_new
AL,ALABAMA,0101290,Elmore County,00471,Wetumpka High School,010129000471,No,0,0,010129000471,0,0
AL,ALABAMA,0101290,Elmore County,00834,Elmore County Technical Center,010129000834,No,0,0,010129000834,0,0
AL,ALABAMA,0101290,Elmore County,99998,ELMORE COUNTY ALTERNATIVE PROGRAMs,010129099998,No,0,0,010129099998,0,0
AL,ALABAMA,0101320,Enterprise City,00476,Enterprise High School,010132000476,No,0,0,010132000476,0,0
AL,ALABAMA,0101350,Escambia County,00484,Escambia County High School,010135000484,No,0,0,010135000484,0,0
AL,ALABAMA,0101350,Escambia County,00487,Flomaton High School,010135000487,No,0,0,010135000487,0,0
AL,ALABAMA,0101350,Escambia County,00492,W S Neal High School,010135000492,No,0,0,010135000492,0,0
AL,ALABAMA,0101380,Etowah County,00496,Gaston High School,010138000496,No,0,0,010138000496,0,0
AL,ALABAMA,0101380,Etowah County,00498,Glencoe High School,010138000498,No,0,0,010138000498,0,0
AL,ALABAMA,0101380,Etowah County,00505,Sardis High School,010138000505,No,0,0,010138000505,0,0
AL,ALABAMA,0101380,Etowah County,00506,Southside High School,010138000506,No,0,0,010138000506,0,0
AL,ALABAMA,0101380,Etowah County,00507,West End High School,010138000507,No,0,0,010138000507,0,0
AL,ALABAMA,0101380,Etowah County,01662,Hokes Bluff High School,010138001662,No,0,0,010138001662,0,0
AL,ALABAMA,0101410,Eufaula City,00511,Eufaula High School,010141000511,No,0,0,010141000511,0,0
AL,ALABAMA,0101440,Fairfield City,00516,Fairfield High Preparatory School,010144000516,No,0,0,010144000516,0,0
AL,ALABAMA,0101470,Fayette County,00521,Berry High School,010147000521,No,0,0,010147000521,0,0
AL,ALABAMA,0101470,Fayette County,00525,Hubbertville School,010147000525,No,0,0,010147000525,0,0
AL,ALABAMA,0101470,Fayette County,01787,Fayette County High School,010147001787,No,0,0,010147001787,0,0
AL,ALABAMA,0101530,Florence City,00528,Florence High School,010153000528,No,0,0,010153000528,0,0
AL,ALABAMA,0101530,Florence City,00531,Florence Freshman Center,010153000531,No,0,0,010153000531,0,0
AL,ALABAMA,0101560,Fort Payne City,00538,Fort Payne High School,010156000538,No,0,0,010156000538,0,0
AL,ALABAMA,0101590,Franklin County,00541,Belgreen High School,010159000541,No,0,0,010159000541,0,0
AL,ALABAMA,0101590,Franklin County,00542,East Franklin Junior High School,010159000542,No,0,0,010159000542,0,0
AL,ALABAMA,0101590,Franklin County,00544,Phil Campbell High School,010159000544,No,0,0,010159000544,0,0
AL,ALABAMA,0101590,Franklin County,00545,Red Bay High School,010159000545,No,0,0,010159000545,0,0
AL,ALABAMA,0101590,Franklin County,00548,Vina High School,010159000548,No,0,0,010159000548,0,0
AL,ALABAMA,0101590,Franklin County,01869,Tharptown High School,010159001869,No,0,0,010159001869,0,0
AL,ALABAMA,0101620,Gadsden City,01824,Gadsden City High School,010162001824,No,0,0,010162001824,0,0
AL,ALABAMA,0101640,Geneva City,00567,Geneva High School,010164000567,No,0,0,010164000567,0,0
AL,ALABAMA,0101660,Geneva County,00570,Geneva County High School,010166000570,No,0,0,010166000570,0,0
AL,ALABAMA,0101660,Geneva County,00571,Samson High School,010166000571,No,0,0,010166000571,0,0
AL,ALABAMA,0101660,Geneva County,01519,Slocomb High School,010166001519,No,0,0,010166001519,0,0
AL,ALABAMA,0101680,Greene County,00576,Greene County High School,010168000576,No,0,0,010168000576,0,0
AL,ALABAMA,0101690,Guntersville City,00582,Guntersville High School,010169000582,No,0,0,010169000582,0,0
AL,ALABAMA,0101710,Hale County,00588,Hale County High School,010171000588,No,0,0,010171000588,0,0
AL,ALABAMA,0101710,Hale County,02162,Greensboro High School,010171002162,No,0,0,010171002162,0,0
AL,ALABAMA,0101720,Haleyville City,00594,Haleyville High School,010172000594,No,0,0,010172000594,0,0
AL,ALABAMA,0101730,Hartselle City,00599,Hartselle High School,010173000599,No,0,0,010173000599,0,0
AL,ALABAMA,0101740,Henry County,00600,Abbeville High School,010174000600,No,0,0,010174000600,0,0
AL,ALABAMA,0101740,Henry County,00604,Headland High School,010174000604,No,0,0,010174000604,0,0
AL,ALABAMA,0101740,Henry County,00605,Headland Middle School,010174000605,No,0,0,010174000605,0,0
AL,ALABAMA,0101740,Henry County,99999,Camp Sayla,010174099999,No,0,0,010174099999,0,0
AL,ALABAMA,0101760,Homewood City,00608,Homewood High School,010176000608,No,0,0,010176000608,0,0
AL,ALABAMA,0101770,Houston County,00611,Ashford High School,010177000611,No,0,0,010177000611,0,0
AL,ALABAMA,0101770,Houston County,00612,Cottonwood High School,010177000612,No,0,0,010177000612,0,0
AL,ALABAMA,0101770,Houston County,00614,Houston County High School,010177000614,No,0,0,010177000614,0,0
AL,ALABAMA,0101770,Houston County,00615,Rehobeth High School,010177000615,No,0,0,010177000615,0,0
AL,ALABAMA,0101770,Houston County,00617,Wicksburg High School,010177000617,No,0,0,010177000617,0,0
AL,ALABAMA,0101800,Huntsville City,00629,Virgil Grissom High School,010180000629,No,0,0,010180000629,0,0
AL,ALABAMA,0101800,Huntsville City,00631,Huntsville High School,010180000631,No,0,0,010180000631,0,0
AL,ALABAMA,0101800,Huntsville City,00636,Lee High School,010180000636,No,0,0,010180000636,0,0
AL,ALABAMA,0101800,Huntsville City,01374,New Century Technology High School,010180001374,No,0,0,010180001374,0,0
AL,ALABAMA,0101800,Huntsville City,01651,Columbia High School,010180001651,Yes,59,86,010180001651,145,1
AL,ALABAMA,0101800,Huntsville City,02419,Jemison High School,010180002419,No,0,0,010180002419,0,0
AL,ALABAMA,0101830,Jackson County,00662,North Sand Mountain School,010183000662,No,0,0,010183000662,0,0
AL,ALABAMA,0101830,Jackson County,00663,Paint Rock Valley High School,010183000663,No,0,0,010183000663,0,0
AL,ALABAMA,0101830,Jackson County,00667,Section High School,010183000667,No,0,0,010183000667,0,0
AL,ALABAMA,0101830,Jackson County,00668,Skyline High School,010183000668,No,0,0,010183000668,0,0
AL,ALABAMA,0101830,Jackson County,00671,Woodville High School,010183000671,No,0,0,010183000671,0,0
AL,ALABAMA,0101830,Jackson County,01532,Pisgah High School,010183001532,No,0,0,010183001532,0,0
AL,ALABAMA,0101830,Jackson County,01751,North Jackson High School,010183001751,No,0,0,010183001751,0,0
AL,ALABAMA,0101860,Jacksonville City,00673,Jacksonville High School,010186000673,No,0,0,010186000673,0,0
AL,ALABAMA,0101890,Jasper City Board Of Education,00678,Jasper High School,010189000678,No,0,0,010189000678,0,0
AL,ALABAMA,0101920,Jefferson County,00469,ClayChalkville High School,010192000469,No,0,0,010192000469,0,0
AL,ALABAMA,0101920,Jefferson County,00698,Corner High School,010192000698,No,0,0,010192000698,0,0
AL,ALABAMA,0101920,Jefferson County,00702,Center Point High School,010192000702,No,0,0,010192000702,0,0
AL,ALABAMA,0101920,Jefferson County,00704,Fultondale High School,010192000704,No,0,0,010192000704,0,0
AL,ALABAMA,0101920,Jefferson County,00706,Gardendale High School,010192000706,No,0,0,010192000706,0,0
AL,ALABAMA,0101920,Jefferson County,00717,Hueytown High School,010192000717,No,0,0,010192000717,0,0
AL,ALABAMA,0101920,Jefferson County,00725,McAdory High School,010192000725,No,0,0,010192000725,0,0
AL,ALABAMA,0101920,Jefferson County,00728,Mortimer Jordan High School,010192000728,No,0,0,010192000728,0,0
AL,ALABAMA,0101920,Jefferson County,00732,Oak Grove High School,010192000732,No,0,0,010192000732,0,0
AL,ALABAMA,0101920,Jefferson County,00734,Pinson Valley High School,010192000734,No,0,0,010192000734,0,0
AL,ALABAMA,0101920,Jefferson County,00737,Pleasant Grove High School,010192000737,No,0,0,010192000737,0,0
AL,ALABAMA,0101920,Jefferson County,00744,Shades Valley High School,010192000744,Yes,130,192,010192000744,322,1
AL,ALABAMA,0101920,Jefferson County,01680,William E Burkett MultiHandicapped Center,010192001680,No,0,0,010192001680,0,0
AL,ALABAMA,0101920,Jefferson County,01752,Minor High School,010192001752,No,0,0,010192001752,0,0
AL,ALABAMA,0101950,Lamar County,00756,Sulligent School,010195000756,No,0,0,010195000756,0,0
AL,ALABAMA,0101950,Lamar County,01511,Lamar County HighIntermediate,010195001511,No,0,0,010195001511,0,0
AL,ALABAMA,0101950,Lamar County,01720,South Lamar School,010195001720,No,0,0,010195001720,0,0
AL,ALABAMA,0101980,Lanett City,00759,Lanett Senior High School,010198000759,No,0,0,010198000759,0,0
AL,ALABAMA,0102010,Lauderdale County,00762,Allen Thornton Career Technical Center,010201000762,No,0,0,010201000762,0,0
AL,ALABAMA,0102010,Lauderdale County,00764,Brooks High School,010201000764,No,0,0,010201000764,0,0
AL,ALABAMA,0102010,Lauderdale County,00765,Central High School,010201000765,No,0,0,010201000765,0,0
AL,ALABAMA,0102010,Lauderdale County,00767,Lauderdale County High School,010201000767,No,0,0,010201000767,0,0
AL,ALABAMA,0102010,Lauderdale County,00770,Lexington School,010201000770,No,0,0,010201000770,0,0
AL,ALABAMA,0102010,Lauderdale County,00772,Rogers High School,010201000772,No,0,0,010201000772,0,0
AL,ALABAMA,0102010,Lauderdale County,00774,Waterloo High School,010201000774,No,0,0,010201000774,0,0
