SCHOOL_YEAR,ST,SCH_NAME,ST_SCHID,NCESSCH,SY_STATUS,SCH_TYPE_TEXT,SCH_TYPE,LEVEL,TITLEI_STATUS,TITLEI_STATUS_TEXT,TEACHERS,DATA_GROUP,FARMS_COUNT
2017-2018,AL,Huffman High SchoolMagnet,AL-114-0390,010039000141,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,77.0,Free and Reduced-price Lunch Table,974.0
2017-2018,AL,JacksonOlin High School,AL-114-0415,010039000164,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,47.0,Free and Reduced-price Lunch Table,775.0
2017-2018,AL,Parker High School,AL-114-0630,010039000165,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,45.0,Free and Reduced-price Lunch Table,624.0
2017-2018,AL,Ramsay High School,AL-114-0720,010039000176,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,46.0,Free and Reduced-price Lunch Table,485.0
2017-2018,AL,Wenonah High School,AL-114-0858,010039000192,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,45.0,Free and Reduced-price Lunch Table,625.0
2017-2018,AL,Woodlawn High SchoolMagnet,AL-114-0920,010039000198,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,43.0,Free and Reduced-price Lunch Table,677.0
2017-2018,AL,George Washington Carver High School,AL-114-0095,010039001468,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,48.0,Free and Reduced-price Lunch Table,668.0
2017-2018,AL,Cleveland High School,AL-005-0040,010042000206,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,21.41,Free and Reduced-price Lunch Table,167.0
2017-2018,AL,Hayden High School,AL-005-0050,010042000208,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,46.12,Free and Reduced-price Lunch Table,305.0
2017-2018,AL,JB Pennington High School,AL-005-0060,010042000209,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,28.92,Free and Reduced-price Lunch Table,317.0
2017-2018,AL,Locust Fork High School,AL-005-0070,010042000210,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,26.39,Free and Reduced-price Lunch Table,228.0
2017-2018,AL,Susan Moore High School,AL-005-0120,010042000213,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,31.28,Free and Reduced-price Lunch Table,369.0
2017-2018,AL,TR Miller High School,AL-116-0030,010045000216,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,21.52,Free and Reduced-price Lunch Table,130.0
2017-2018,AL,Bullock County High School,AL-006-0050,010048000218,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,26.0,Free and Reduced-price Lunch Table,328.0
2017-2018,AL,Greenville High School,AL-007-0030,010051000226,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,36.0,Free and Reduced-price Lunch Table,499.0
2017-2018,AL,Alexandria High School,AL-008-0010,010054000232,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,36.57,Free and Reduced-price Lunch Table,242.0
2017-2018,AL,Ohatchee High School,AL-008-0130,010054000240,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,26.93,Free and Reduced-price Lunch Table,218.0
2017-2018,AL,Saks High School,AL-008-0160,010054000243,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,23.0,Free and Reduced-price Lunch Table,239.0
2017-2018,AL,Weaver High School,AL-008-0180,010054000247,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,29.0,Free and Reduced-price Lunch Table,319.0
2017-2018,AL,White Plains High School,AL-008-0210,010054000250,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,25.0,Free and Reduced-price Lunch Table,134.0
2017-2018,AL,Pleasant Valley High School,AL-008-0135,010054001488,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,27.5,Free and Reduced-price Lunch Table,214.0
2017-2018,AL,Wellborn High School,AL-008-0200,010054001489,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,32.0,Free and Reduced-price Lunch Table,419.0
2017-2018,AL,Lafayette High School,AL-009-0080,010060000263,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,19.28,Free and Reduced-price Lunch Table,222.0
2017-2018,AL,Valley High School,AL-009-0140,010060000271,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,46.25,Free and Reduced-price Lunch Table,434.0
2017-2018,AL,Cherokee County High School,AL-010-0050,010063000278,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,27.31,Free and Reduced-price Lunch Table,272.0
2017-2018,AL,Jemison High School,AL-011-0070,010066000262,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,30.89,Free and Reduced-price Lunch Table,331.0
2017-2018,AL,Chilton County High School,AL-011-0010,010066001491,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,32.52,Free and Reduced-price Lunch Table,414.0
2017-2018,AL,Choctaw County High School,AL-012-0020,010069000291,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,19.5,Free and Reduced-price Lunch Table,282.0
2017-2018,AL,Southern Choctaw High School,AL-012-0080,010069000297,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,18.5,Free and Reduced-price Lunch Table,233.0
2017-2018,AL,Clarke County High School,AL-013-0010,010072000298,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,21.5,Free and Reduced-price Lunch Table,290.0
2017-2018,AL,Jackson High School,AL-013-0065,010072001493,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,30.5,Free and Reduced-price Lunch Table,359.0
2017-2018,AL,Central High School of Clay County,AL-014-0085,010075002210,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,35.5,Free and Reduced-price Lunch Table,303.0
2017-2018,AL,Cleburne County High School,AL-015-0020,010078000318,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,38.56,Free and Reduced-price Lunch Table,368.0
2017-2018,AL,Ranburne High School,AL-015-0050,010078000321,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,27.86,Free and Reduced-price Lunch Table,268.0
2017-2018,AL,New Brockton High School,AL-016-0040,010081001494,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,20.14,Free and Reduced-price Lunch Table,199.0
2017-2018,AL,Cherokee High School,AL-017-0060,010084000333,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,18.0,Free and Reduced-price Lunch Table,201.0
2017-2018,AL,Colbert County High School,AL-017-0070,010084000334,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,27.0,Free and Reduced-price Lunch Table,278.0
2017-2018,AL,Colbert Heights High School,AL-017-0080,010084000335,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,27.0,Free and Reduced-price Lunch Table,315.0
2017-2018,AL,Hillcrest High School,AL-018-0035,010087001766,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,9.0,Free and Reduced-price Lunch Table,346.0
2017-2018,AL,Central High School,AL-019-0005,010090001749,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,13.73,Free and Reduced-price Lunch Table,163.0
2017-2018,AL,Florala High School,AL-020-0040,010093000360,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,14.0,Free and Reduced-price Lunch Table,162.0
2017-2018,AL,Red Level High School,AL-020-0060,010093000362,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,17.54,Free and Reduced-price Lunch Table,160.0
2017-2018,AL,Straughn High School,AL-020-0080,010093000363,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,24.72,Free and Reduced-price Lunch Table,180.0
2017-2018,AL,Cullman High School,AL-125-0020,010099000370,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,55.2,Free and Reduced-price Lunch Table,273.0
2017-2018,AL,Cold Springs High School,AL-022-0030,010102000374,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,15.13,Free and Reduced-price Lunch Table,111.0
2017-2018,AL,Fairview High School,AL-022-0060,010102000377,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,27.8,Free and Reduced-price Lunch Table,230.0
2017-2018,AL,Good Hope High School,AL-022-0080,010102000379,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,21.9,Free and Reduced-price Lunch Table,210.0
2017-2018,AL,Hanceville High School,AL-022-0090,010102000380,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,18.9,Free and Reduced-price Lunch Table,233.0
2017-2018,AL,Holly Pond High School,AL-022-0100,010102000381,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,18.5,Free and Reduced-price Lunch Table,146.0
2017-2018,AL,Vinemont High School,AL-022-0140,010102000385,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,18.17,Free and Reduced-price Lunch Table,174.0
2017-2018,AL,West Point High School,AL-022-0160,010102000387,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,32.19,Free and Reduced-price Lunch Table,264.0
2017-2018,AL,Dale County High School,AL-023-0020,010105000389,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,24.17,Free and Reduced-price Lunch Table,313.0
2017-2018,AL,George W Long High School,AL-023-0040,010105000390,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,23.18,Free and Reduced-price Lunch Table,159.0
2017-2018,AL,Daleville High School,AL-126-0010,010108000394,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,29.59,Free and Reduced-price Lunch Table,275.0
2017-2018,AL,Dallas County High School,AL-024-0020,010111000397,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,29.04,Free and Reduced-price Lunch Table,353.0
2017-2018,AL,Keith MiddleHigh School,AL-024-0080,010111000402,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,21.46,Free and Reduced-price Lunch Table,249.0
2017-2018,AL,Southside High School,AL-024-0120,010111000406,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,23.92,Free and Reduced-price Lunch Table,318.0
2017-2018,AL,Crossville High School,AL-025-0045,010114001860,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,31.5,Free and Reduced-price Lunch Table,460.0
2017-2018,AL,Austin High School,AL-127-0010,010117000426,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,89.0,Free and Reduced-price Lunch Table,806.0
2017-2018,AL,Decatur High School,AL-127-0030,010117000429,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,64.5,Free and Reduced-price Lunch Table,586.0
2017-2018,AL,Demopolis High School,AL-128-0050,010120000148,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,38.96,Free and Reduced-price Lunch Table,404.0
2017-2018,AL,Dothan High School,AL-130-0030,010123000445,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,66.7,Free and Reduced-price Lunch Table,852.0
2017-2018,AL,Northview High School,AL-130-0115,010123001501,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,67.3,Free and Reduced-price Lunch Table,794.0
2017-2018,AL,Elba High School,AL-131-0020,010126000461,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,16.0,Free and Reduced-price Lunch Table,203.0
2017-2018,AL,Elmore County High School,AL-026-0010,010129000463,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,25.0,Free and Reduced-price Lunch Table,230.0
2017-2018,AL,Holtville High School,AL-026-0020,010129000465,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,25.0,Free and Reduced-price Lunch Table,207.0
2017-2018,AL,Stanhope Elmore High School,AL-026-0050,010129000468,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,58.0,Free and Reduced-price Lunch Table,547.0
2017-2018,AL,Wetumpka High School,AL-026-0070,010129000471,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,60.0,Free and Reduced-price Lunch Table,504.0
2017-2018,AL,Enterprise High School,AL-132-0050,010132000476,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,111.25,Free and Reduced-price Lunch Table,773.0
2017-2018,AL,Escambia County High School,AL-027-0025,010135000484,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,29.0,Free and Reduced-price Lunch Table,372.0
2017-2018,AL,Flomaton High School,AL-027-0050,010135000487,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,27.2,Free and Reduced-price Lunch Table,228.0
2017-2018,AL,W S Neal High School,AL-027-0110,010135000492,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,23.1,Free and Reduced-price Lunch Table,289.0
2017-2018,AL,Glencoe High School,AL-028-0060,010138000498,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,19.81,Free and Reduced-price Lunch Table,143.0
2017-2018,AL,Sardis High School,AL-028-0120,010138000505,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,30.6,Free and Reduced-price Lunch Table,259.0
2017-2018,AL,Southside High School,AL-028-0130,010138000506,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,45.43,Free and Reduced-price Lunch Table,234.0
2017-2018,AL,West End High School,AL-028-0150,010138000507,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,23.17,Free and Reduced-price Lunch Table,255.0
2017-2018,AL,Hokes Bluff High School,AL-028-0075,010138001662,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,24.03,Free and Reduced-price Lunch Table,182.0
2017-2018,AL,Eufaula High School,AL-133-0010,010141000511,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,49.35,Free and Reduced-price Lunch Table,638.0
2017-2018,AL,Fairfield High Preparatory School,AL-137-0020,010144000516,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,35.31,Free and Reduced-price Lunch Table,629.0
2017-2018,AL,Berry High School,AL-029-0020,010147000521,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,15.5,Free and Reduced-price Lunch Table,154.0
2017-2018,AL,Fayette County High School,AL-029-0025,010147001787,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,23.5,Free and Reduced-price Lunch Table,223.0
2017-2018,AL,Florence High School,AL-141-0020,010153000528,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,64.82,Free and Reduced-price Lunch Table,373.0
2017-2018,AL,Fort Payne High School,AL-143-0020,010156000538,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,52.4,Free and Reduced-price Lunch Table,594.0
2017-2018,AL,Phil Campbell High School,AL-030-0030,010159000544,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,24.83,Free and Reduced-price Lunch Table,289.0
2017-2018,AL,Tharptown High School,AL-030-0065,010159001869,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,20.77,Free and Reduced-price Lunch Table,278.0
2017-2018,AL,Gadsden City High School,AL-144-0135,010162001824,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,96.42,Free and Reduced-price Lunch Table,898.0
2017-2018,AL,Geneva High School,AL-146-0010,010164000567,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,23.0,Free and Reduced-price Lunch Table,151.0
2017-2018,AL,Geneva County High School,AL-031-0020,010166000570,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,12.1,Free and Reduced-price Lunch Table,138.0
2017-2018,AL,Samson High School,AL-031-0040,010166000571,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,12.0,Free and Reduced-price Lunch Table,136.0
2017-2018,AL,Slocomb High School,AL-031-0060,010166001519,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,18.52,Free and Reduced-price Lunch Table,199.0
2017-2018,AL,Greene County High School,AL-032-0030,010168000576,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,14.5,Free and Reduced-price Lunch Table,285.0
2017-2018,AL,Guntersville High School,AL-154-0040,010169000582,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,35.72,Free and Reduced-price Lunch Table,222.0
2017-2018,AL,Hale County High School,AL-033-0050,010171000588,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,22.0,Free and Reduced-price Lunch Table,243.0
2017-2018,AL,Greensboro High School,AL-033-0043,010171002162,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,20.0,Free and Reduced-price Lunch Table,376.0
2017-2018,AL,Haleyville High School,AL-155-0030,010172000594,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,26.06,Free and Reduced-price Lunch Table,259.0
2017-2018,AL,Hartselle High School,AL-156-0040,010173000599,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,57.42,Free and Reduced-price Lunch Table,209.0
2017-2018,AL,Abbeville High School,AL-034-0020,010174000600,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,25.0,Free and Reduced-price Lunch Table,290.0
2017-2018,AL,Headland High School,AL-034-0040,010174000604,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,21.0,Free and Reduced-price Lunch Table,152.0
2017-2018,AL,Homewood High School,AL-157-0035,010176000608,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,91.4,Free and Reduced-price Lunch Table,280.0
2017-2018,AL,Ashford High School,AL-035-0010,010177000611,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,46.0,Free and Reduced-price Lunch Table,429.0
2017-2018,AL,Houston County High School,AL-035-0040,010177000614,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,23.0,Free and Reduced-price Lunch Table,299.0
2017-2018,AL,Rehobeth High School,AL-035-0050,010177000615,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,39.0,Free and Reduced-price Lunch Table,358.0
2017-2018,AL,Virgil Grissom High School,AL-159-0340,010180000629,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,98.0,Free and Reduced-price Lunch Table,581.0
2017-2018,AL,Huntsville High School,AL-159-0160,010180000631,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,99.75,Free and Reduced-price Lunch Table,396.0
2017-2018,AL,Lee High School,AL-159-0200,010180000636,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,51.5,Free and Reduced-price Lunch Table,596.0
2017-2018,AL,New Century Technology High School,AL-159-0460,010180001374,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,29.0,Free and Reduced-price Lunch Table,226.0
2017-2018,AL,Columbia High School,AL-159-0052,010180001651,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,59.3,Free and Reduced-price Lunch Table,456.0
2017-2018,AL,Jemison High School,AL-159-0172,010180002419,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,51.0,Free and Reduced-price Lunch Table,520.0
2017-2018,AL,North Jackson High School,AL-036-0075,010183001751,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,23.11,Free and Reduced-price Lunch Table,278.0
2017-2018,AL,Jacksonville High School,AL-162-0020,010186000673,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,44.5,Free and Reduced-price Lunch Table,355.0
2017-2018,AL,Jasper High School,AL-163-0040,010189000678,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,52.0,Free and Reduced-price Lunch Table,310.0
2017-2018,AL,ClayChalkville High School,AL-037-0185,010192000469,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,74.0,Free and Reduced-price Lunch Table,747.0
2017-2018,AL,Corner High School,AL-037-0210,010192000698,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,30.0,Free and Reduced-price Lunch Table,118.0
2017-2018,AL,Center Point High School,AL-037-0280,010192000702,1,Regular School,1,High,SWELIGSWPROG,Title I schoolwide school,50.0,Free and Reduced-price Lunch Table,652.0
2017-2018,AL,Fultondale High School,AL-037-0295,010192000704,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,32.0,Free and Reduced-price Lunch Table,352.0
2017-2018,AL,Gardendale High School,AL-037-0310,010192000706,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,59.5,Free and Reduced-price Lunch Table,314.0
2017-2018,AL,Hueytown High School,AL-037-0420,010192000717,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,61.5,Free and Reduced-price Lunch Table,606.0
2017-2018,AL,McAdory High School,AL-037-0520,010192000725,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,57.5,Free and Reduced-price Lunch Table,536.0
2017-2018,AL,Mortimer Jordan High School,AL-037-0610,010192000728,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,42.0,Free and Reduced-price Lunch Table,203.0
2017-2018,AL,Oak Grove High School,AL-037-0690,010192000732,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,42.0,Free and Reduced-price Lunch Table,286.0
2017-2018,AL,Pinson Valley High School,AL-037-0710,010192000734,1,Regular School,1,High,NOTTITLE1ELIG,Not a Title I school,54.5,Free and Reduced-price Lunch Table,581.0
